PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33376418","Comparability of European League Against Rheumatology-Recommended Pharmacological Treatments of Oral Ulcers Associated with Behçet's Disease: A Systematic Literature Review of Randomized Controlled Trials","Nazareth T, Hart EM, Ronnebaum SM, Mehta S, Patel DA, Kötter I.","Open Access Rheumatol. 2020 Dec 21;12:323-335. doi: 10.2147/OARRR.S277036. eCollection 2020.","Nazareth T","Open Access Rheumatol","2020","2020/12/30","PMC7762439","","10.2147/OARRR.S277036"
"33435879","When does the use of individual patient data in network meta-analysis make a difference? A simulation study","Kanters S, Karim ME, Thorlund K, Anis A, Bansback N.","BMC Med Res Methodol. 2021 Jan 13;21(1):21. doi: 10.1186/s12874-020-01198-2.","Kanters S","BMC Med Res Methodol","2021","2021/01/13","PMC7805229","","10.1186/s12874-020-01198-2"
"33423240","Evaluating the Cost-Effectiveness of Once-Weekly Semaglutide 1 mg Versus Empagliflozin 25 mg for Treatment of Patients with Type 2 Diabetes in the UK Setting","Capehorn M, Hallén N, Baker-Knight J, Glah D, Hunt B.","Diabetes Ther. 2021 Feb;12(2):537-555. doi: 10.1007/s13300-020-00989-6. Epub 2021 Jan 9.","Capehorn M","Diabetes Ther","2021","2021/01/10","PMC7846640","","10.1007/s13300-020-00989-6"
"33393412","Cost-effectiveness of valbenazine compared with deutetrabenazine for the treatment of tardive dyskinesia","Ganz ML, Chavan A, Dhanda R, Serbin M, Yonan C.","J Med Econ. 2021 Jan-Dec;24(1):103-113. doi: 10.1080/13696998.2020.1867443.","Ganz ML","J Med Econ","2021","2021/01/04","","","10.1080/13696998.2020.1867443"
"33377987","Recombinant FVIIIFc Versus BAY 94-9027 for Treatment of Patients with Haemophilia A: Comparative Efficacy Using a Matching Adjusted Indirect Comparison","Hakimi Z, Santagostino E, Postma MJ, Nazir J.","Adv Ther. 2021 Feb;38(2):1263-1274. doi: 10.1007/s12325-020-01599-1. Epub 2020 Dec 30.","Hakimi Z","Adv Ther","2021","2020/12/30","PMC7889532","","10.1007/s12325-020-01599-1"
"33339864","Dynamic data-driven meta-analysis for prioritisation of host genes implicated in COVID-19","Parkinson N, Rodgers N, Head Fourman M, Wang B, Zechner M, Swets MC, Millar JE, Law A, Russell CD, Baillie JK, Clohisey S.","Sci Rep. 2020 Dec 18;10(1):22303. doi: 10.1038/s41598-020-79033-3.","Parkinson N","Sci Rep","2020","2020/12/19","PMC7749145","","10.1038/s41598-020-79033-3"
"33292314","Cost-effectiveness analysis of ceritinib vs. crizotinib in previously untreated anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) in Hong Kong","Loong HH, Wong CKH, Leung LKS, Chan CPK, Chang A, Zhou ZY, Xie J, Gibbs M.","Cost Eff Resour Alloc. 2020 Nov 7;18(1):50. doi: 10.1186/s12962-020-00244-6.","Loong HH","Cost Eff Resour Alloc","2020","2020/12/09","PMC7648263","","10.1186/s12962-020-00244-6"
"33291810","A Matching-Adjusted Indirect Comparison of Pembrolizumab + Chemotherapy vs. Nivolumab + Ipilimumab as First-Line Therapies in Patients with PD-L1 TPS ≥1% Metastatic NSCLC","Halmos B, Burke T, Kalyvas C, Insinga R, Vandormael K, Frederickson A, Piperdi B.","Cancers (Basel). 2020 Dec 4;12(12):3648. doi: 10.3390/cancers12123648.","Halmos B","Cancers (Basel)","2020","2020/12/09","PMC7762014","","10.3390/cancers12123648"
"33267884","Choice across 10 pharmacologic combination strategies for type 2 diabetes: a cost-effectiveness analysis","Gu S, Shi L, Shao H, Wang X, Hu X, Gu Y, Dong H.","BMC Med. 2020 Dec 3;18(1):378. doi: 10.1186/s12916-020-01837-x.","Gu S","BMC Med","2020","2020/12/03","PMC7713153","","10.1186/s12916-020-01837-x"
"33570887","Pharmacoeconomic Report: Halobetasol Propionate and Tazarotene (Duobrii): (Bausch Health, Canada Inc.): Indication: Psoriasis, moderate-to-severe plaque","","Ottawa (ON): Canadian Agency for Drugs and Technologies in Health; 2020 Dec.","","Pharmacoeconomic Report: Halobetasol Propionate and Tazarotene (Duobrii): (Bausch Health, Canada Inc.): Indication: Psoriasis, moderate-to-severe plaque","2020","2020/12/01","","",""
"33555772","Brivaracetam versus Levetiracetam for Epilepsy: A Review of Comparative Clinical Safety","Subramonian A, Farrah K.","Ottawa (ON): Canadian Agency for Drugs and Technologies in Health; 2020 Dec 1.","Subramonian A","Brivaracetam versus Levetiracetam for Epilepsy: A Review of Comparative Clinical Safety","2020","2020/12/01","","",""
"33244703","A Matching-Adjusted Indirect Comparison of Upadacitinib Versus Tofacitinib in Adults with Moderate-to-Severe Rheumatoid Arthritis","Edwards CJ, Sawant R, Garg V, Du EX, Friedman A, Betts KA.","Rheumatol Ther. 2021 Mar;8(1):167-181. doi: 10.1007/s40744-020-00257-w. Epub 2020 Nov 26.","Edwards CJ","Rheumatol Ther","2021","2020/11/27","PMC7991064","","10.1007/s40744-020-00257-w"
"33228440","Front-line daratumumab-VTd versus standard-of-care in ASCT-eligible multiple myeloma: matching-adjusted indirect comparison","Moreau P, Hebraud B, Facon T, Leleu X, Hulin C, Hashim M, Hu Y, Caillot D, Benboubker L, Zweegman S, Merz M, Weisel K, Salwender H, Mai EK, Goldschmidt H, Bertsch U, Vanquickelberghe V, Kampfenkel T, Boer C, Krotneva S, Proskorovsky I, He J, Lam A, Lee C, Cote S, Sonneveld P.","Immunotherapy. 2021 Feb;13(2):143-154. doi: 10.2217/imt-2020-0266. Epub 2020 Nov 24.","Moreau P","Immunotherapy","2021","2020/11/24","","","10.2217/imt-2020-0266"
"33215981","Dual influenza and pneumococcal vaccination was associated with lower short-term risks of all-cause and acute respiratory hospitalizations among the elderly in Shenzhen, China: a retrospective cohort study","Jiang Y, Ye Z, Chen D, Shu Y.","Emerg Microbes Infect. 2020 Dec;9(1):2578-2587. doi: 10.1080/22221751.2020.1854624.","Jiang Y","Emerg Microbes Infect","2020","2020/11/20","PMC7734018","","10.1080/22221751.2020.1854624"
"33213193","Cardiovascular safety of Glimepiride: An indirect comparison from CAROLINA and CARMELINA","Ghosh S, Mukhopadhyay P, Pandey P, Chatterjee P, Pandit K.","Diab Vasc Dis Res. 2020 Nov-Dec;17(6):1479164120973653. doi: 10.1177/1479164120973653.","Ghosh S","Diab Vasc Dis Res","2020","2020/11/20","PMC7919221","","10.1177/1479164120973653"
"33193875","Comparative Overall Survival of CDK4/6 Inhibitors Plus Endocrine Therapy vs. Endocrine Therapy Alone for Hormone receptor-positive, HER2-negative metastatic breast cancer","Lin M, Chen Y, Jin Y, Hu X, Zhang J.","J Cancer. 2020 Oct 18;11(24):7127-7136. doi: 10.7150/jca.48944. eCollection 2020.","Lin M","J Cancer","2020","2020/11/16","PMC7646186","","10.7150/jca.48944"
"33155118","Evaluating cost-effectiveness in the management of neuroendocrine neoplasms","White BE, Mujica-Mota R, Snowsill T, Gamper EM, Srirajaskanthan R, Ramage JK.","Rev Endocr Metab Disord. 2021 Sep;22(3):647-663. doi: 10.1007/s11154-020-09608-y. Epub 2020 Nov 6.","White BE","Rev Endocr Metab Disord","2021","2020/11/06","PMC8346405","","10.1007/s11154-020-09608-y"
"33145711","Lenalidomide with Rituximab for Previously Treated Follicular Lymphoma and Marginal Zone Lymphoma: An Evidence Review Group Perspective of a NICE Single Technology Appraisal","Witlox WJA, Grimm SE, Riemsma R, Armstrong N, Ryder S, Duffy S, Carrera VH, Posadzki P, Worthy G, Pouwels XGLV, Ramaekers BLT, Kleijnen J, Joore MA, van Asselt ADI.","Pharmacoeconomics. 2021 Feb;39(2):171-180. doi: 10.1007/s40273-020-00971-x. Epub 2020 Nov 4.","Witlox WJA","Pharmacoeconomics","2021","2020/11/04","PMC7867510","","10.1007/s40273-020-00971-x"
"33131206","Alternative weighting schemes when performing matching-adjusted indirect comparisons","Jackson D, Rhodes K, Ouwens M.","Res Synth Methods. 2021 May;12(3):333-346. doi: 10.1002/jrsm.1466. Epub 2020 Dec 22.","Jackson D","Res Synth Methods","2021","2020/11/01","","","10.1002/jrsm.1466"
"33119182","Immune-related adverse events of a PD-L1 inhibitor plus chemotherapy versus a PD-L1 inhibitor alone in first-line treatment for advanced non-small cell lung cancer: A meta-analysis of randomized control trials","Wang M, Liang H, Wang W, Zhao S, Cai X, Zhao Y, Li C, Cheng B, Xiong S, Li J, He J, Liang W.","Cancer. 2021 Mar 1;127(5):777-786. doi: 10.1002/cncr.33270. Epub 2020 Oct 29.","Wang M","Cancer","2021","2020/10/29","","","10.1002/cncr.33270"
"33111986","Matching-adjusted indirect comparisons: Application to time-to-event data","Aouni J, Gaudel-Dedieu N, Sebastien B.","Stat Med. 2021 Feb 10;40(3):566-577. doi: 10.1002/sim.8789. Epub 2020 Oct 27.","Aouni J","Stat Med","2021","2020/10/28","","","10.1002/sim.8789"
"33090003","Comparison of ofatumumab and other disease-modifying therapies for relapsing multiple sclerosis: a network meta-analysis","Samjoo IA, Worthington E, Drudge C, Zhao M, Cameron C, Häring DA, Stoneman D, Klotz L, Adlard N.","J Comp Eff Res. 2020 Dec;9(18):1255-1274. doi: 10.2217/cer-2020-0122. Epub 2020 Oct 22.","Samjoo IA","J Comp Eff Res","2020","2020/10/22","","","10.2217/cer-2020-0122"
"33069083","Patterns of Mycobacterium avium-intracellulare complex infection in duodenal endoscopic biopsies in HIV/AIDS patients","AbdullGaffar B, Bashir M.","Ann Diagn Pathol. 2020 Dec;49:151638. doi: 10.1016/j.anndiagpath.2020.151638. Epub 2020 Oct 8.","AbdullGaffar B","Ann Diagn Pathol","2020","2020/10/17","","","10.1016/j.anndiagpath.2020.151638"
"33067698","Daratumumab Plus Bortezomib, Melphalan, and Prednisone Versus Standard of Care in Latin America for Transplant-Ineligible Newly Diagnosed Multiple Myeloma: Propensity Score Matching Analysis","Hungria V, Martínez-Baños DM, Mateos MV, Dimopoulos MA, Cavo M, Heeg B, Garcia A, Lam A, Machnicki G, He J, Fernandez M.","Adv Ther. 2020 Dec;37(12):4996-5009. doi: 10.1007/s12325-020-01521-9. Epub 2020 Oct 16.","Hungria V","Adv Ther","2020","2020/10/17","PMC7595972","","10.1007/s12325-020-01521-9"
"33062927","Impact of Patient Characteristics on Treatment Outcomes in Symptomatic Venous Thromboembolism: Results of HOKUSAI-VTE Randomized Trial Analysis","van Hout B, Hawe E, Cohen AT.","TH Open. 2020 Sep 23;4(3):e245-e254. doi: 10.1055/s-0040-1716496. eCollection 2020 Jul.","van Hout B","TH Open","2020","2020/10/16","PMC7553796","","10.1055/s-0040-1716496"
"33052055","Comparative efficacy of cemiplimab versus other systemic treatments for advanced cutaneous squamous cell carcinoma","Keeping S, Xu Y, Chen CI, Cope S, Mojebi A, Kuznik A, Konidaris G, Ayers D, Sasane M, Allen R, Huynh TM, Popoff E, Freeman M, Andria ML, Fury MG, Singh K, Stockfleth E, Challapalli A, Schmults CD.","Future Oncol. 2021 Feb;17(5):611-627. doi: 10.2217/fon-2020-0823. Epub 2020 Oct 14.","Keeping S","Future Oncol","2021","2020/10/14","","","10.2217/fon-2020-0823"
"33051255","Efficacy and Safety of Different Doses of Systemic Corticosteroids in COPD Exacerbation","Pu X, Liu L, Feng B, Wang M, Dong L, Zhang Z, Fan Q, Li Y, Wang G.","Respir Care. 2021 Feb;66(2):316-326. doi: 10.4187/respcare.07925. Epub 2020 Oct 13.","Pu X","Respir Care","2021","2020/10/14","","","10.4187/respcare.07925"
"33036834","The future of Cochrane Neonatal","Soll RF, Ovelman C, McGuire W.","Early Hum Dev. 2020 Nov;150:105191. doi: 10.1016/j.earlhumdev.2020.105191. Epub 2020 Sep 12.","Soll RF","Early Hum Dev","2020","2020/10/10","","","10.1016/j.earlhumdev.2020.105191"
"33015906","Assessing the performance of population adjustment methods for anchored indirect comparisons: A simulation study","Phillippo DM, Dias S, Ades AE, Welton NJ.","Stat Med. 2020 Dec 30;39(30):4885-4911. doi: 10.1002/sim.8759. Epub 2020 Oct 4.","Phillippo DM","Stat Med","2020","2020/10/05","PMC8690023","","10.1002/sim.8759"
"33001384","A Systematic Review of the Clinical Efficacy of Treatments in Relapsed or Refractory Diffuse Large B Cell Lymphoma","Thuresson PO, Vander Velde N, Gupta P, Talbot J.","Adv Ther. 2020 Dec;37(12):4877-4893. doi: 10.1007/s12325-020-01507-7. Epub 2020 Oct 1.","Thuresson PO","Adv Ther","2020","2020/10/01","PMC7595978","","10.1007/s12325-020-01507-7"
"33570892","Pharmacoeconomic Report: Eculizumab (Soliris): Alexion Pharma Canada Corp: Indication: Neuromyelitis optica spectrum disorder","","Ottawa (ON): Canadian Agency for Drugs and Technologies in Health; 2020 Oct.","","Pharmacoeconomic Report: Eculizumab (Soliris): Alexion Pharma Canada Corp: Indication: Neuromyelitis optica spectrum disorder","2020","2020/10/01","","",""
"32993519","Performance of unanchored matching-adjusted indirect comparison (MAIC) for the evidence synthesis of single-arm trials with time-to-event outcomes","Jiang Y, Ni W.","BMC Med Res Methodol. 2020 Sep 29;20(1):241. doi: 10.1186/s12874-020-01124-6.","Jiang Y","BMC Med Res Methodol","2020","2020/09/30","PMC7526361","","10.1186/s12874-020-01124-6"
"32969597","Efficacy of bendamustine and rituximab in unfit patients with previously untreated chronic lymphocytic leukemia. Indirect comparison with ibrutinib in a real-world setting. A GIMEMA-ERIC and US study","Cuneo A, Mato AR, Rigolin GM, Piciocchi A, Gentile M, Laurenti L, Allan JN, Pagel JM, Brander DM, Hill BT, Winter A, Lamanna N, Tam CS, Jacobs R, Lansigan F, Barr PM, Shadman M, Skarbnik AP, Pu JJ, Sehgal AR, Schuster SJ, Shah NN, Ujjani CS, Roeker L, Orlandi EM, Billio A, Trentin L, Spacek M, Marchetti M, Tedeschi A, Ilariucci F, Gaidano G, Doubek M, Farina L, Molica S, Di Raimondo F, Coscia M, Mauro FR, de la Serna J, Medina Perez A, Ferrarini I, Cimino G, Cavallari M, Cucci R, Vignetti M, Foà R, Ghia P; GIMEMA, European Research Initiative (ERIC) on CLL, US study group.","Cancer Med. 2020 Nov;9(22):8468-8479. doi: 10.1002/cam4.3470. Epub 2020 Sep 24.","Cuneo A","Cancer Med","2020","2020/09/24","PMC7666748","","10.1002/cam4.3470"
"32957804","Summarising salient information on historical controls: A structured assessment of validity and comparability across studies","Hatswell A, Freemantle N, Baio G, Lesaffre E, van Rosmalen J.","Clin Trials. 2020 Dec;17(6):607-616. doi: 10.1177/1740774520944855. Epub 2020 Sep 21.","Hatswell A","Clin Trials","2020","2020/09/22","PMC7649932","","10.1177/1740774520944855"
"32914703","Systematic Review and Meta-Analysis of Multitargeted Tyrosine Kinase Inhibitors in Patients With Intractable Metastatic Colorectal Cancer","Gao Z, Cao C, Bao Y, Fan Y, Chen G, Fu P.","Technol Cancer Res Treat. 2020 Jan-Dec;19:1533033820943241. doi: 10.1177/1533033820943241.","Gao Z","Technol Cancer Res Treat","2020","2020/09/11","PMC7488883","","10.1177/1533033820943241"
"32892660","Indirect treatment comparison of the efficacy of patisiran and inotersen for hereditary transthyretin-mediated amyloidosis with polyneuropathy","Gorevic P, Franklin J, Chen J, Sajeev G, Wang JCH, Lin H.","Expert Opin Pharmacother. 2021 Jan;22(1):121-129. doi: 10.1080/14656566.2020.1811850. Epub 2020 Sep 7.","Gorevic P","Expert Opin Pharmacother","2021","2020/09/07","","","10.1080/14656566.2020.1811850"
"32856150","Comparative efficacy of first-line therapeutic interventions for achalasia: a systematic review and network meta-analysis","Facciorusso A, Singh S, Abbas Fehmi SM, Annese V, Lipham J, Yadlapati R.","Surg Endosc. 2021 Aug;35(8):4305-4314. doi: 10.1007/s00464-020-07920-x. Epub 2020 Aug 27.","Facciorusso A","Surg Endosc","2021","2020/08/29","PMC8011535","NIHMS1680894","10.1007/s00464-020-07920-x"
"32853779","Practical considerations of utilizing propensity score methods in clinical development using real-world and historical data","Li Q, Lin J, Chi A, Davies S.","Contemp Clin Trials. 2020 Oct;97:106123. doi: 10.1016/j.cct.2020.106123. Epub 2020 Aug 24.","Li Q","Contemp Clin Trials","2020","2020/08/28","","","10.1016/j.cct.2020.106123"
"32853126","Monoclonal antibodies against calcitonin gene-related peptide in chronic migraine: an adjusted indirect treatment comparison","Briceño-Casado MDP, Gil-Sierra MD, Fénix-Caballero S.","Farm Hosp. 2020 Aug 21;44(5):212-217. doi: 10.7399/fh.11419.","Briceño-Casado MDP","Farm Hosp","2020","2020/08/28","","","10.7399/fh.11419"
"32839071","Response to comment on: Pairwise indirect treatment comparison of dupilumab versus other biologics in patients with uncontrolled persistent asthma (Respir. Med. 2020)","Bateman ED, Khan AH, Xu Y, Guyot P, Chao J, Kamat S, Rowe P, Burnett H, Msihid J, Weinreich DM, Pavord ID.","Respir Med. 2022 Jan;191:106106. doi: 10.1016/j.rmed.2020.106106. Epub 2020 Aug 5.","Bateman ED","Respir Med","2022","2020/08/26","","","10.1016/j.rmed.2020.106106"
"32827435","Efficacy of Once-Weekly Semaglutide vs Empagliflozin Added to Metformin in Type 2 Diabetes: Patient-Level Meta-analysis","Lingvay I, Capehorn MS, Catarig AM, Johansen P, Lawson J, Sandberg A, Shaw R, Paine A.","J Clin Endocrinol Metab. 2020 Dec 1;105(12):e4593-604. doi: 10.1210/clinem/dgaa577.","Lingvay I","J Clin Endocrinol Metab","2020","2020/08/23","PMC7549924","","10.1210/clinem/dgaa577"
"32826180","Cost-effectiveness of Pembrolizumab versus Carboplatin-based Chemotherapy as First-line Treatment of PD-L1-positive Locally Advanced or Metastatic Urothelial Carcinoma Ineligible for Cisplatin-based Therapy in the United States","Hale O, Patterson K, Lai Y, Meng Y, Li H, Godwin JL, Homet Moreno B, Mamtani R.","Clin Genitourin Cancer. 2021 Feb;19(1):e17-e30. doi: 10.1016/j.clgc.2020.07.006. Epub 2020 Jul 16.","Hale O","Clin Genitourin Cancer","2021","2020/08/23","","","10.1016/j.clgc.2020.07.006"
"32804408","Daratumumab-lenalidomide-dexamethasone vs standard-of-care regimens: Efficacy in transplant-ineligible untreated myeloma","Durie BGM, Kumar SK, Usmani SZ, Nonyane BAS, Ammann EM, Lam A, Kobos R, Maiese EM, Facon T.","Am J Hematol. 2020 Dec;95(12):1486-1494. doi: 10.1002/ajh.25963. Epub 2020 Sep 5.","Durie BGM","Am J Hematol","2020","2020/08/18","PMC7754114","","10.1002/ajh.25963"
"32801167","Cladribine vs other drugs in MS: Merging randomized trial with real-life data","Signori A, Saccà F, Lanzillo R, Maniscalco GT, Signoriello E, Repice AM, Annovazzi P, Baroncini D, Clerico M, Binello E, Cerqua R, Mataluni G, Perini P, Bonavita S, Lavorgna L, Zarbo IR, Laroni A, Pareja-Gutierrez L, La Gioia S, Frigeni B, Barcella V, Frau J, Cocco E, Fenu G, Clerici VT, Sartori A, Rasia S, Cordioli C, Stromillo ML, Di Sapio A, Pontecorvo S, Grasso R, Barone S, Barrilà C, Russo CV, Esposito S, Ippolito D, Landi D, Visconti A, Sormani MP.","Neurol Neuroimmunol Neuroinflamm. 2020 Aug 14;7(6):e878. doi: 10.1212/NXI.0000000000000878. Print 2020 Nov.","Signori A","Neurol Neuroimmunol Neuroinflamm","2020","2020/08/18","PMC7641098","","10.1212/NXI.0000000000000878"
"32798057","Efficacy and Safety of Commonly Used Insulin Analogues in the Treatment of Diabetic Ketoacidosis: A Bayesian Indirect Treatment Comparison","Vidyasagar K, Chandrasekar B, Chhabra M, Bhansali A, Bansal D.","Clin Ther. 2020 Aug;42(8):e115-e139. doi: 10.1016/j.clinthera.2020.06.017. Epub 2020 Aug 11.","Vidyasagar K","Clin Ther","2020","2020/08/17","","","10.1016/j.clinthera.2020.06.017"
"32761259","The Efficacy of Neoadjuvant Versus Adjuvant Therapy for Resectable Esophageal Cancer Patients: A Systematic Review and Meta-Analysis","Xiao X, Hong HG, Zeng X, Yang YS, Luan SY, Li Y, Chen LQ, Yuan Y.","World J Surg. 2020 Dec;44(12):4161-4174. doi: 10.1007/s00268-020-05721-w. Epub 2020 Aug 5.","Xiao X","World J Surg","2020","2020/08/08","","","10.1007/s00268-020-05721-w"
"32749937","Efficacy and safety of front-line treatments for advanced Hodgkin lymphoma: a systematic literature review","Dalal M, Gupta J, Price K, Zomas A, Miao H, Ashaye A.","Expert Rev Hematol. 2020 Aug;13(8):907-922. doi: 10.1080/17474086.2020.1793666. Epub 2020 Aug 4.","Dalal M","Expert Rev Hematol","2020","2020/08/05","","","10.1080/17474086.2020.1793666"
"32736593","Indirect comparison of efficacy between different antibiotic prophylaxis against the intracranial infection after craniotomy","Cao Y, Wang B, Shan J, Gong Z, Kuang J, Gao Y.","Antimicrob Resist Infect Control. 2020 Jul 31;9(1):122. doi: 10.1186/s13756-020-00784-9.","Cao Y","Antimicrob Resist Infect Control","2020","2020/08/02","PMC7393706","","10.1186/s13756-020-00784-9"
"32727171","Perspective of the comparative effectiveness of non-pharmacologic managements on postpartum hemorrhage using a network meta-analysis","Lee KJ, Hong K, Hwang H, Choi H, Sohn S.","Obstet Gynecol Sci. 2020 Sep;63(5):605-614. doi: 10.5468/ogs.20080. Epub 2020 Jul 30.","Lee KJ","Obstet Gynecol Sci","2020","2020/07/31","PMC7494765","","10.5468/ogs.20080"
"32693948","A Cost-Consequence Analysis of the Preferential Use of Secukinumab Versus Adalimumab for the Treatment of Psoriatic Arthritis","Jiménez-Morales A, Cáliz R, Aceituno S, Prades M, Blanch C.","Reumatol Clin (Engl Ed). 2020 Jul 18:S1699-258X(20)30132-7. doi: 10.1016/j.reuma.2020.05.004. Online ahead of print.","Jiménez-Morales A","Reumatol Clin (Engl Ed)","2020","2020/07/23","","","10.1016/j.reuma.2020.05.004"
"32684669","Multilevel network meta-regression for population-adjusted treatment comparisons","Phillippo DM, Dias S, Ades AE, Belger M, Brnabic A, Schacht A, Saure D, Kadziola Z, Welton NJ.","J R Stat Soc Ser A Stat Soc. 2020 Jun;183(3):1189-1210. doi: 10.1111/rssa.12579. Epub 2020 Jun 7.","Phillippo DM","J R Stat Soc Ser A Stat Soc","2020","2020/07/21","PMC7362893","","10.1111/rssa.12579"
"32679702","Nivolumab plus Ipilimumab versus Existing Immunotherapies in Patients with PD-L1-Positive Advanced Non-Small Cell Lung Cancer: A Systematic Review and Network Meta-Analysis","Ando K, Kishino Y, Homma T, Kusumoto S, Yamaoka T, Tanaka A, Ohmori T, Ohnishi T, Sagara H.","Cancers (Basel). 2020 Jul 15;12(7):1905. doi: 10.3390/cancers12071905.","Ando K","Cancers (Basel)","2020","2020/07/19","PMC7409193","","10.3390/cancers12071905"
"32673969","A systematic review and indirect treatment comparison of perampanel versus brivaracetam as adjunctive therapy in patients with focal-onset seizures with or without secondary generalization","Trinka E, Tsong W, Toupin S, Patten A, Wilson K, Isojarvi J, James D.","Epilepsy Res. 2020 Oct;166:106403. doi: 10.1016/j.eplepsyres.2020.106403. Epub 2020 Jun 22.","Trinka E","Epilepsy Res","2020","2020/07/17","","","10.1016/j.eplepsyres.2020.106403"
"32669839","Efficacy and Safety of LAMA/LABA Fixed-Dose Combination Therapies in Chronic Obstructive Pulmonary Disease: A Systematic Review of Direct and Indirect Treatment Comparisons","Hurst JR, Gruffydd-Jones K, Biswas M, Guranlioglu D, Jenkins M, Stjepanovic N, Bamrara A.","Int J Chron Obstruct Pulmon Dis. 2020 Jul 1;15:1529-1543. doi: 10.2147/COPD.S230955. eCollection 2020.","Hurst JR","Int J Chron Obstruct Pulmon Dis","2020","2020/07/17","PMC7336124","","10.2147/COPD.S230955"
"32659160","Comparison of Methods for Estimating Therapy Effects by Indirect Comparisons: A Simulation Study","Weber D, Jensen K, Kieser M.","Med Decis Making. 2020 Jul;40(5):644-654. doi: 10.1177/0272989X20929309. Epub 2020 Jul 13.","Weber D","Med Decis Making","2020","2020/07/14","","","10.1177/0272989X20929309"
"32648475","Matching-adjusted indirect comparison: entrectinib versus crizotinib in ROS1 fusion-positive non-small cell lung cancer","Chu P, Antoniou M, Bhutani MK, Aziez A, Daigl M.","J Comp Eff Res. 2020 Aug;9(12):861-876. doi: 10.2217/cer-2020-0063. Epub 2020 Jul 10.","Chu P","J Comp Eff Res","2020","2020/07/11","","","10.2217/cer-2020-0063"
"32636183","Comparative effectiveness of biological medicines in rheumatoid arthritis: systematic review and network meta-analysis including aggregate results from reanalysed individual patient data","Janke K, Biester K, Krause D, Richter B, Schürmann C, Hirsch K, Hörn H, Kerekes MF, Kohlepp P, Wieseler B.","BMJ. 2020 Jul 7;370:m2288. doi: 10.1136/bmj.m2288.","Janke K","BMJ","2020","2020/07/09","PMC7338922","","10.1136/bmj.m2288"
"32627297","Efficacy and safety of iGlarLixi versus IDegLira in adults with type 2 diabetes inadequately controlled by glucagon-like peptide-1 receptor agonists: a systematic literature review and indirect treatment comparison","Home PD, Aroda VR, Blonde L, Guyot P, Shaunik A, Fazeli MS, Goswami H, Kalra S, Pourrahmat MM.","Diabetes Obes Metab. 2020 Nov;22(11):2170-2178. doi: 10.1111/dom.14136. Epub 2020 Jul 26.","Home PD","Diabetes Obes Metab","2020","2020/07/07","","","10.1111/dom.14136"
"32602756","Tisagenlecleucel versus historical standard therapies for pediatric relapsed/refractory acute lymphoblastic leukemia","Ma Q, Zhang J, O'Brien E, Martin AL, Agostinho AC.","J Comp Eff Res. 2020 Aug;9(12):849-860. doi: 10.2217/cer-2020-0069. Epub 2020 Jun 30.","Ma Q","J Comp Eff Res","2020","2020/07/01","","","10.2217/cer-2020-0069"
"32596834","Component network meta-analysis compared to a matching method in a disconnected network: A case study","Rücker G, Schmitz S, Schwarzer G.","Biom J. 2021 Feb;63(2):447-461. doi: 10.1002/bimj.201900339. Epub 2020 Jun 28.","Rücker G","Biom J","2021","2020/06/30","","","10.1002/bimj.201900339"
"32568666","Psychological interventions to improve self-management of type 1 and type 2 diabetes: a systematic review","Winkley K, Upsher R, Stahl D, Pollard D, Kasera A, Brennan A, Heller S, Ismail K.","Health Technol Assess. 2020 Jun;24(28):1-232. doi: 10.3310/hta24280.","Winkley K","Health Technol Assess","2020","2020/06/23","PMC7336224","","10.3310/hta24280"
"32561336","Comparing Efficacy, Safety, and Preinfusion Period of Axicabtagene Ciloleucel versus Tisagenlecleucel in Relapsed/Refractory Large B Cell Lymphoma","Oluwole OO, Jansen JP, Lin VW, Chan K, Keeping S, Navale L, Locke FL.","Biol Blood Marrow Transplant. 2020 Sep;26(9):1581-1588. doi: 10.1016/j.bbmt.2020.06.008. Epub 2020 Jun 17.","Oluwole OO","Biol Blood Marrow Transplant","2020","2020/06/21","","","10.1016/j.bbmt.2020.06.008"
"32550696","Rosacea Treatment Satisfaction: Matching Adjusted Indirect Treatment Comparison Analysis of Metronidazole Gel or Cream vs Azelaic Acid Foam","Williamson T, LaRose A, Cameron J, Lott J, Eaddy M, Hopson S, Shih HC, Tennant LT.","J Drugs Dermatol. 2020 Mar 1;19(3):295-304.","Williamson T","J Drugs Dermatol","2020","2020/06/19","","",""
"32540383","Unknown confounders did not bias the treatment effect when improving balance of known confounders in randomized trials","Kuss O, Miller M.","J Clin Epidemiol. 2020 Oct;126:9-16. doi: 10.1016/j.jclinepi.2020.06.012. Epub 2020 Jun 12.","Kuss O","J Clin Epidemiol","2020","2020/06/17","","","10.1016/j.jclinepi.2020.06.012"
"32540233","The Effects of Model Misspecification in Unanchored Matching-Adjusted Indirect Comparison: Results of a Simulation Study","Hatswell AJ, Freemantle N, Baio G.","Value Health. 2020 Jun;23(6):751-759. doi: 10.1016/j.jval.2020.02.008. Epub 2020 May 4.","Hatswell AJ","Value Health","2020","2020/06/17","","","10.1016/j.jval.2020.02.008"
