doi	section	ITC num	Ind studies num	questions	decision	PMID
10.1007/s13555-021-00646-1	methodology	1	NA	Definition of a single primary outcome for the indirect comparison	Yes	NA
10.1007/s13555-021-00646-1	methodology	1	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	investigator’s static global assessment improvement score of 0–1	NA
10.1007/s13555-021-00646-1	methodology	1	NA	Primary outcome: variable type	Binary (eg rates)	NA
10.1007/s13555-021-00646-1	methodology	1	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	Status of prognostic factor/treatment effect modified assessed in the IPD dataset, A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)	NA
10.1007/s13555-021-00646-1	methodology	1	NA	Inclusion of prognostic factors in the adjustment/matching model	Yes	NA
10.1007/s13555-021-00646-1	methodology	1	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	Yes	NA
10.1007/s13555-021-00646-1	methodology	1	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	Yes	NA
10.1007/s13555-021-00646-1	methodology	1	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	Yes	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Treatment name 1	crisaborole	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Study 'number(s)' for treatment 1	1;2	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Treatment name 2	tacrolimus 0.03%	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Study 'number(s)' for treatment 2	3;4;5;8;9	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Type of population-adjusted indirect comparisons performed	MAIC	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Anchored comparison?	No	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Form of the indirect comparison	Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Definition of a single primary outcome for the indirect comparison	Yes	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	investigator’s static global assessment improvement score of 0–1	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Primary outcome: variable type	Binary (eg rates)	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	Status of prognostic factor/treatment effect modified assessed in the IPD dataset, A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Inclusion of prognostic factors in the adjustment/matching model	Yes	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	Yes	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	Yes	NA
10.1007/s13555-021-00646-1	methodology	2	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Treatment name 1	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Study 'number(s)' for treatment 1	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Treatment name 2	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Study 'number(s)' for treatment 2	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Type of population-adjusted indirect comparisons performed	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Anchored comparison?	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Form of the indirect comparison	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Definition of a single primary outcome for the indirect comparison	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Primary outcome: variable type	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Inclusion of prognostic factors in the adjustment/matching model	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	NA	NA
10.1007/s13555-021-00646-1	methodology	3	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	NA	NA
10.1007/s13555-021-00646-1	results	1	NA	Initial sample size of the population of interest in the IPD treatment arm	1021	NA
10.1007/s13555-021-00646-1	results	1	NA	Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC	627	NA
10.1007/s13555-021-00646-1	results	1	NA	Reporting of a weights' distribution evaluation (MAIC)	Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials	NA
10.1007/s13555-021-00646-1	results	1	NA	Reporting of the list of the covariates adjusted for/matched on	Yes	NA
10.1007/s13555-021-00646-1	results	1	NA	Number of covariates adjusted for/matched on	7	NA
10.1007/s13555-021-00646-1	results	1	NA	Covariates adjusted for/matched on in the indirect comparison	Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Race/ethnicity, Past treatments for the disease of interest	NA
10.1007/s13555-021-00646-1	results	1	NA	Primary outcome: treatment effect contrast	OR	NA
10.1007/s13555-021-00646-1	results	1	NA	Direction of the treatment effect contrast: IPD treatment is:	Numerator if ratio, or left side if difference	NA
10.1007/s13555-021-00646-1	results	1	NA	Primary outcome: unadjusted treatment effect	2.04	NA
10.1007/s13555-021-00646-1	results	1	NA	p-value for the unadjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX-Y.YY])	[1.47;2.82]	NA
10.1007/s13555-021-00646-1	results	1	NA	Primary outcome: adjusted treatment effect	2.03	NA
10.1007/s13555-021-00646-1	results	1	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	[1.45;2.85]	NA
10.1007/s13555-021-00646-1	results	2	NA	Initial sample size of the population of interest in the IPD treatment arm	1021	NA
10.1007/s13555-021-00646-1	results	2	NA	Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC	311	NA
10.1007/s13555-021-00646-1	results	2	NA	Reporting of a weights' distribution evaluation (MAIC)	Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials	NA
10.1007/s13555-021-00646-1	results	2	NA	Reporting of the list of the covariates adjusted for/matched on	Yes	NA
10.1007/s13555-021-00646-1	results	2	NA	Number of covariates adjusted for/matched on	7	NA
10.1007/s13555-021-00646-1	results	2	NA	Covariates adjusted for/matched on in the indirect comparison	Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Race/ethnicity, Past treatments for the disease of interest	NA
10.1007/s13555-021-00646-1	results	2	NA	Primary outcome: treatment effect contrast	OR	NA
10.1007/s13555-021-00646-1	results	2	NA	Direction of the treatment effect contrast: IPD treatment is:	Numerator if ratio, or left side if difference	NA
10.1007/s13555-021-00646-1	results	2	NA	Primary outcome: unadjusted treatment effect	1.31	NA
10.1007/s13555-021-00646-1	results	2	NA	p-value for the unadjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX-Y.YY])	[1.02;1.69]	NA
10.1007/s13555-021-00646-1	results	2	NA	Primary outcome: adjusted treatment effect	1.5	NA
10.1007/s13555-021-00646-1	results	2	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	[1.09;2.05]	NA
10.1007/s13555-021-00646-1	results	3	NA	Initial sample size of the population of interest in the IPD treatment arm	NA	NA
10.1007/s13555-021-00646-1	results	3	NA	Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC	NA	NA
10.1007/s13555-021-00646-1	results	3	NA	Reporting of a weights' distribution evaluation (MAIC)	NA	NA
10.1007/s13555-021-00646-1	results	3	NA	Reporting of the list of the covariates adjusted for/matched on	NA	NA
10.1007/s13555-021-00646-1	results	3	NA	Number of covariates adjusted for/matched on	NA	NA
10.1007/s13555-021-00646-1	results	3	NA	Covariates adjusted for/matched on in the indirect comparison	NA	NA
10.1007/s13555-021-00646-1	results	3	NA	Primary outcome: treatment effect contrast	NA	NA
10.1007/s13555-021-00646-1	results	3	NA	Direction of the treatment effect contrast: IPD treatment is:	NA	NA
10.1007/s13555-021-00646-1	results	3	NA	Primary outcome: unadjusted treatment effect	NA	NA
10.1007/s13555-021-00646-1	results	3	NA	p-value for the unadjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX-Y.YY])	NA	NA
10.1007/s13555-021-00646-1	results	3	NA	Primary outcome: adjusted treatment effect	NA	NA
10.1007/s13555-021-00646-1	results	3	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	NA	NA
10.1007/s13555-021-00646-1	study_information	NA	1	Patient-level data used	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	1	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	1	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT02118766	NA
10.1007/s13555-021-00646-1	study_information	NA	1	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/s13555-021-00646-1	study_information	NA	1	Phase of the clinical trial (clinical trial only)	3	NA
10.1007/s13555-021-00646-1	study_information	NA	1	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	1	Patient-level data used	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	1	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	1	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT02118766	NA
10.1007/s13555-021-00646-1	study_information	NA	1	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/s13555-021-00646-1	study_information	NA	1	Phase of the clinical trial (clinical trial only)	3	NA
10.1007/s13555-021-00646-1	study_information	NA	1	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	2	Patient-level data used	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	2	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	2	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT02118792	NA
10.1007/s13555-021-00646-1	study_information	NA	2	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/s13555-021-00646-1	study_information	NA	2	Phase of the clinical trial (clinical trial only)	3	NA
10.1007/s13555-021-00646-1	study_information	NA	2	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	2	Patient-level data used	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	2	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	2	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT02118792	NA
10.1007/s13555-021-00646-1	study_information	NA	2	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/s13555-021-00646-1	study_information	NA	2	Phase of the clinical trial (clinical trial only)	3	NA
10.1007/s13555-021-00646-1	study_information	NA	2	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	3	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	3	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	3	Data source name (only if observational study or clinical trial without NCT)	schachner et al. (2005)	NA
10.1007/s13555-021-00646-1	study_information	NA	3	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/s13555-021-00646-1	study_information	NA	3	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	3	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	3	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	3	Data source name (only if observational study or clinical trial without NCT)	schachner et al. (2005)	NA
10.1007/s13555-021-00646-1	study_information	NA	3	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/s13555-021-00646-1	study_information	NA	3	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	4	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	4	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	4	Data source name (only if observational study or clinical trial without NCT)	kempers et al. (2004)	NA
10.1007/s13555-021-00646-1	study_information	NA	4	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/s13555-021-00646-1	study_information	NA	4	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	4	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	4	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	4	Data source name (only if observational study or clinical trial without NCT)	kempers et al. (2004)	NA
10.1007/s13555-021-00646-1	study_information	NA	4	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/s13555-021-00646-1	study_information	NA	4	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	5	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	5	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	5	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT00667160	NA
10.1007/s13555-021-00646-1	study_information	NA	5	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/s13555-021-00646-1	study_information	NA	5	Phase of the clinical trial (clinical trial only)	4	NA
10.1007/s13555-021-00646-1	study_information	NA	5	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	5	Data source name (only if observational study or clinical trial without NCT)	NA	NA
10.1007/s13555-021-00646-1	study_information	NA	5	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	5	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	5	NCT (only for clinical trial registered on clinicaltrials.gov)	NA	NA
10.1007/s13555-021-00646-1	study_information	NA	5	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/s13555-021-00646-1	study_information	NA	5	Phase of the clinical trial (clinical trial only)	NA	NA
10.1007/s13555-021-00646-1	study_information	NA	5	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	5	Data source name (only if observational study or clinical trial without NCT)	paller et al. (2005)	NA
10.1007/s13555-021-00646-1	study_information	NA	6	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	6	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	6	NCT (only for clinical trial registered on clinicaltrials.gov)	NA	NA
10.1007/s13555-021-00646-1	study_information	NA	6	Country where the clinical trial/observational study was conducted (international if more than one)	unknown	NA
10.1007/s13555-021-00646-1	study_information	NA	6	Phase of the clinical trial (clinical trial only)	NA	NA
10.1007/s13555-021-00646-1	study_information	NA	6	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	6	Data source name (only if observational study or clinical trial without NCT)	abramovits et al. (2008)	NA
10.1007/s13555-021-00646-1	study_information	NA	6	Patient-level data used	XXXX	NA
10.1007/s13555-021-00646-1	study_information	NA	6	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	6	NCT (only for clinical trial registered on clinicaltrials.gov)	NA	NA
10.1007/s13555-021-00646-1	study_information	NA	6	Country where the clinical trial/observational study was conducted (international if more than one)	XXXX	NA
10.1007/s13555-021-00646-1	study_information	NA	6	Phase of the clinical trial (clinical trial only)	XXXX	NA
10.1007/s13555-021-00646-1	study_information	NA	6	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	6	Data source name (only if observational study or clinical trial without NCT)	abramovits et al. (2008)	NA
10.1007/s13555-021-00646-1	study_information	NA	7	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	7	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	7	Data source name (only if observational study or clinical trial without NCT)	eichenfield et al. (2002)	NA
10.1007/s13555-021-00646-1	study_information	NA	7	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	7	Country where the clinical trial/observational study was conducted (international if more than one)	unknown	NA
10.1007/s13555-021-00646-1	study_information	NA	7	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	7	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	7	Data source name (only if observational study or clinical trial without NCT)	eichenfield et al. (2002)	NA
10.1007/s13555-021-00646-1	study_information	NA	7	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	7	Country where the clinical trial/observational study was conducted (international if more than one)	XXXX	NA
10.1007/s13555-021-00646-1	study_information	NA	8	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	8	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	8	Data source name (only if observational study or clinical trial without NCT)	chapman et al. (2005)	NA
10.1007/s13555-021-00646-1	study_information	NA	8	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/s13555-021-00646-1	study_information	NA	8	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	8	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	8	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	8	Data source name (only if observational study or clinical trial without NCT)	chapman et al. (2005)	NA
10.1007/s13555-021-00646-1	study_information	NA	8	Country where the clinical trial/observational study was conducted (international if more than one)	usa	NA
10.1007/s13555-021-00646-1	study_information	NA	8	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	9	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	9	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	9	NCT (only for clinical trial registered on clinicaltrials.gov)	NA	NA
10.1007/s13555-021-00646-1	study_information	NA	9	Country where the clinical trial/observational study was conducted (international if more than one)	NA	NA
10.1007/s13555-021-00646-1	study_information	NA	9	Phase of the clinical trial (clinical trial only)	NA	NA
10.1007/s13555-021-00646-1	study_information	NA	9	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	9	Data source name (only if observational study or clinical trial without NCT)	levy et al. (2005)	NA
10.1007/s13555-021-00646-1	study_information	NA	9	Patient-level data used	No	NA
10.1007/s13555-021-00646-1	study_information	NA	9	Clinical Trial	Yes	NA
10.1007/s13555-021-00646-1	study_information	NA	9	NCT (only for clinical trial registered on clinicaltrials.gov)	NA	NA
10.1007/s13555-021-00646-1	study_information	NA	9	Country where the clinical trial/observational study was conducted (international if more than one)	XXXX	NA
10.1007/s13555-021-00646-1	study_information	NA	9	Phase of the clinical trial (clinical trial only)	XXXX	NA
10.1007/s13555-021-00646-1	study_information	NA	9	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s13555-021-00646-1	study_information	NA	9	Data source name (only if observational study or clinical trial without NCT)	levy et al. (2005)	NA
10.1007/s40258-016-0271-0	general_information	NA	NA	Medical Condition of Interest Name	relapsed and/or refractory multiple myeloma	NA
10.1007/s40258-016-0271-0	general_information	NA	NA	Countries of first author affiliations	the netherlands	NA
10.1007/s40258-016-0271-0	general_information	NA	NA	Countries of last author affiliations	usa	NA
10.1007/s40258-016-0271-0	general_information	NA	NA	Positions of study investigators (for any authors of the article, any that applies)	Pharmaceutical Industry, Private Data Analysis Company	NA
10.1007/s40258-016-0271-0	general_information	NA	NA	At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company	Yes	NA
10.1007/s40258-016-0271-0	general_information	NA	NA	Mentioned sources of funding	Pharmaceutical Industry	NA
10.1007/s40258-016-0271-0	general_information	NA	NA	Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article	Yes	NA
10.1007/s40258-016-0271-0	general_information	NA	NA	Mention of a systematic review to find the studies to compare treatments of interest	Yes	NA
10.1007/s40258-016-0271-0	methodology	1	NA	Treatment name 1	panobinostat + bortezomib + dexamethasone	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Study 'number(s)' for treatment 1	1	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Treatment name 2	lenalidomide + dexamethasone	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Study 'number(s)' for treatment 2	2;3	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Type of population-adjusted indirect comparisons performed	MAIC	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Anchored comparison?	No	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Form of the indirect comparison	Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Definition of a single primary outcome for the indirect comparison	No primary outcome defined, or multiple primary outcomes without any clear distinction between them	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	progression-free survival	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Primary outcome: variable type	Time-to-event	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Inclusion of prognostic factors in the adjustment/matching model	NA	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	No discussion (in the main text) of the status of treatment-effect modifiers of the variables	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	No	27550239
10.1007/s40258-016-0271-0	methodology	1	NA	Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale)	No	27550239
10.1007/s40258-016-0271-0	results	1	NA	Sample size of the population of interest in the non IPD treatment arm	220	27550239
10.1007/s40258-016-0271-0	results	1	NA	Initial sample size of the population of interest in the IPD treatment arm	142	27550239
10.1007/s40258-016-0271-0	results	1	NA	Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC	138	27550239
10.1007/s40258-016-0271-0	results	1	NA	Reporting of a weights' distribution evaluation (MAIC)	Not mentioned	27550239
10.1007/s40258-016-0271-0	results	1	NA	Reporting of the list of the covariates adjusted for/matched on	Yes	27550239
10.1007/s40258-016-0271-0	results	1	NA	Number of covariates adjusted for/matched on	NA	27550239
10.1007/s40258-016-0271-0	results	1	NA	Covariates adjusted for/matched on in the indirect comparison	Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Past treatments for the disease of interest	27550239
10.1007/s40258-016-0271-0	results	1	NA	Primary outcome: treatment effect contrast	HR	27550239
10.1007/s40258-016-0271-0	results	1	NA	Direction of the treatment effect contrast: IPD treatment is:	Numerator if ratio, or left side if difference	27550239
10.1007/s40258-016-0271-0	results	1	NA	Primary outcome: adjusted treatment effect	0.96	27550239
10.1007/s40258-016-0271-0	results	1	NA	p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])	[0.72;1.28]	27550239
10.1007/s40258-016-0271-0	study_information	NA	1	Patient-level data used	Yes	NA
10.1007/s40258-016-0271-0	study_information	NA	1	Clinical Trial	Yes	NA
10.1007/s40258-016-0271-0	study_information	NA	1	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT01023308	NA
10.1007/s40258-016-0271-0	study_information	NA	1	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1007/s40258-016-0271-0	study_information	NA	1	Phase of the clinical trial (clinical trial only)	3	NA
10.1007/s40258-016-0271-0	study_information	NA	1	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s40258-016-0271-0	study_information	NA	2	Patient-level data used	No	NA
10.1007/s40258-016-0271-0	study_information	NA	2	Clinical Trial	Yes	NA
10.1007/s40258-016-0271-0	study_information	NA	2	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT00056160	NA
10.1007/s40258-016-0271-0	study_information	NA	2	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1007/s40258-016-0271-0	study_information	NA	2	Phase of the clinical trial (clinical trial only)	3	NA
10.1007/s40258-016-0271-0	study_information	NA	2	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s40258-016-0271-0	study_information	NA	3	Patient-level data used	No	NA
10.1007/s40258-016-0271-0	study_information	NA	3	Clinical Trial	Yes	NA
10.1007/s40258-016-0271-0	study_information	NA	3	NCT (only for clinical trial registered on clinicaltrials.gov)	NCT00424047	NA
10.1007/s40258-016-0271-0	study_information	NA	3	Country where the clinical trial/observational study was conducted (international if more than one)	international	NA
10.1007/s40258-016-0271-0	study_information	NA	3	Phase of the clinical trial (clinical trial only)	3	NA
10.1007/s40258-016-0271-0	study_information	NA	3	Number of treatment arms (clinical trial only)	2 or more	NA
10.1007/s40263-013-0102-x	general_information	NA	NA	Medical Condition of Interest Name	attention-deficit/hyperactivity disorder in children and adolescents	NA
10.1007/s40263-013-0102-x	general_information	NA	NA	Countries of first author affiliations	usa	NA
10.1007/s40263-013-0102-x	general_information	NA	NA	Countries of last author affiliations	usa	NA
10.1007/s40263-013-0102-x	general_information	NA	NA	Positions of study investigators (for any authors of the article, any that applies)	Academic, Pharmaceutical Industry, Private Data Analysis Company	NA
10.1007/s40263-013-0102-x	general_information	NA	NA	At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company	Yes	NA
10.1007/s40263-013-0102-x	general_information	NA	NA	Mentioned sources of funding	Pharmaceutical Industry	NA
10.1007/s40263-013-0102-x	general_information	NA	NA	Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article	Yes	NA
10.1007/s40263-013-0102-x	general_information	NA	NA	Mention of a systematic review to find the studies to compare treatments of interest	Yes	NA
10.1007/s40263-013-0102-x	methodology	1	NA	Treatment name 1	guanfacine extended release	23975660
10.1007/s40263-013-0102-x	methodology	1	NA	Study 'number(s)' for treatment 1	1;2	23975660
10.1007/s40263-013-0102-x	methodology	1	NA	Treatment name 2	atomoxetine	23975660
10.1007/s40263-013-0102-x	methodology	1	NA	Study 'number(s)' for treatment 2	3	23975660
10.1007/s40263-013-0102-x	methodology	1	NA	Type of population-adjusted indirect comparisons performed	MAIC	23975660
