"row_names";"PMID";"doi";"Title";"Create Date";"included";"notes";"n_questions";"same";"differences";"to_review"
"114";"34616492";"10.1177/17588359211049639";"Population-adjusted indirect treatment comparison of maintenance PARP inhibitor with or without bevacizumab versus bevacizumab alone in women with newly diagnosed advanced ovarian cancer";"2021-10-07";TRUE;NA;"124";"100";"24";"22"
"115";"34672224";"10.1080/14760584.2021.1994858";"Matching-adjusted indirect comparison of pneumococcal vaccines V114 and PCV20";"2021-10-21";TRUE;NA;"61";"53";"8";"7"
"116";"34751591";"10.2217/cer-2021-0221";"Palbociclib versus abemaciclib in HR+/HER2- advanced breast cancer: an indirect comparison of patient-reported end points";"2021-11-09";TRUE;NA;"49";"38";"11";"9"
"117";"34754257";"10.2147/jbm.s321288";"Indirect Treatment Comparison of Damoctocog Alfa Pegol versus Turoctocog Alfa Pegol as Prophylactic Treatment in Patients with Hemophilia A";"2021-11-10";TRUE;NA;"48";"42";"6";"3"
"118";"34754238";"10.2147/cmar.s325043";"Matching-Adjusted Indirect Comparison of Ribociclib Plus Fulvestrant versus Palbociclib Plus Letrozole as First-Line Treatment of HR+/HER2- Advanced Breast Cancer";"2021-11-10";TRUE;NA;"76";"76";"0";"0"
"119";"34765537";"10.2147/ptt.s326121";"Efficacy of Brodalumab and Guselkumab in Patients with Moderate-to-Severe Plaque Psoriasis Who are Inadequate Responders to Ustekinumab: A Matching Adjusted Indirect Comparison";"2021-11-12";TRUE;NA;"52";"44";"8";"6"
"120";"34797506";"10.1007/s12325-021-01885-6";"Apalutamide Compared with Darolutamide for the Treatment of Non-metastatic Castration-Resistant Prostate Cancer: Efficacy and Tolerability in a Matching-Adjusted Indirect Comparison";"2021-11-19";TRUE;NA;"45";"37";"8";"7"
"121";"34877623";"10.1007/s13555-021-00646-1";"Matching-Adjusted Indirect Comparison of Crisaborole Ointment 2% vs. Topical Calcineurin Inhibitors in the Treatment of Patients with Mild-to-Moderate Atopic Dermatitis";"2021-12-08";TRUE;NA;"142";"87";"55";"44"
"122";"34912478";"10.1016/j.ejcsup.2021.06.002";"Matching-adjusted indirect treatment comparison of [(177)Lu]Lu-DOTA-TATE, everolimus and sunitinib in advanced, unresectable gastroenteropancreatic neuroendocrine tumours: Relative effectiveness of [(177)Lu]Lu-DOTA-TATE in gastroenteropancreatic neuroendocrine tumours";"2021-12-16";TRUE;NA;"187";"167";"20";"18"
"123";"34922383";"10.1210/clinem/dgab905";"An indirect treatment comparison of semaglutide 2.0Â mg versus dulaglutide 3.0Â mg and 4.5Â mg using multilevel network meta-regression";"2021-12-18";TRUE;NA;"80";"59";"21";"17"
"124";"34978255";"10.1080/10428194.2021.2010069";"Comparative efficacy of tisagenlecleucel and lisocabtagene maraleucel among adults with relapsed/refractory large B-cell lymphomas: an indirect treatment comparison";"2022-01-03";TRUE;NA;"48";"43";"5";"4"
"125";"35040693";"10.2217/cer-2021-0216";"How does risdiplam compare with other treatments for Types 1-3 spinal muscular atrophy: a systematic literature review and indirect treatment comparison";"2022-01-18";TRUE;NA;"124";"111";"13";"11"
"126";"35042448";"10.1080/03007995.2022.2030112";"An anchored simulated treatment comparison of uptitration of amlodipine compared with a low-dose combination treatment with amlodipine 5â€‰mg/bisoprolol 5â€‰mg for patients with hypertension suboptimally controlled by amlodipine 5â€‰mg monotherapy";"2022-01-19";TRUE;NA;"50";"44";"6";"5"
"127";"35068168";"10.2217/cer-2021-0178";"Indirect comparison of apomorphine sublingual film and levodopa inhalation powder for Parkinson's disease 'OFF' episodes";"2022-01-24";TRUE;NA;"49";"43";"6";"5"
"128";"35073727";"10.2217/imt-2021-0273";"Indirect comparison of pembrolizumab monotherapy versus nivolumabÂ +Â ipilimumab in first-line metastatic lung cancer";"2022-01-25";TRUE;NA;"53";"46";"7";"4"
"129";"35114819";"10.2217/fon-2021-1509";"Indirect treatment comparisons of avapritinib versus midostaurin for patients with advanced systemic mastocytosis";"2022-02-04";TRUE;NA;"59";"52";"7";"6"
"130";"35157216";"10.1007/s12325-022-02054-z";"A Matching-Adjusted Indirect Comparison of Single-Arm Trials in Patients with Relapsed or Refractory Follicular Lymphoma Who Received at Least Two Prior Systemic Treatments: Tazemetostat was Associated with a Lower Risk for Safety Outcomes Versus the PI3-Kinase Inhibitors Idelalisib, Duvelisib, Copanlisib, and Umbralisib";"2022-02-14";TRUE;NA;"153";"118";"35";"34"
"131";"35175308";"10.1001/jamaophthalmol.2021.6284";"Proptosis and Diplopia Response With Teprotumumab and Placebo vs the Recommended Treatment Regimen With Intravenous Methylprednisolone in Moderate to Severe Thyroid Eye Disease: A Meta-analysis and Matching-Adjusted Indirect Comparison";"2022-02-17";TRUE;NA;"53";"46";"7";"3"
"132";"35232230";"10.2217/fon-2021-1102";"Effectiveness of crizotinib versus entrectinib in ROS1-positive non-small-cell lung cancer using clinical and real-world data";"2022-03-02";TRUE;NA;"119";"93";"26";"19"
"133";"35279814";"10.1007/s12325-022-02099-0";"Transarterial Radioembolization Versus Atezolizumab-Bevacizumab in Unresectable Hepatocellular Carcinoma: A Matching-Adjusted Indirect Comparison of Time to Deterioration in Quality of Life";"2022-03-13";TRUE;NA;"49";"43";"6";"5"
"134";"35289710";"10.1080/10428194.2022.2047962";"Carfilzomib 56â€‰mg/m(2) twice-weekly in combination with dexamethasone and daratumumab (KdD) versus daratumumab in combination with bortezomib and dexamethasone (DVd): a matching-adjusted indirect treatment comparison";"2022-03-15";TRUE;NA;"48";"40";"8";"7"
"135";"35337365";"10.1186/s40164-022-00268-z";"Matching-adjusted indirect treatment comparison of chimeric antigen receptor T-cell therapies for third-line or later treatment of relapsed or refractory large B-cell lymphoma: lisocabtagene maraleucel versus tisagenlecleucel";"2022-03-26";TRUE;NA;"48";"37";"11";"7"
NA;"27202160";NA;"Comparison of Mean Overall Survival (OS) and Radiographic Progression Free Survival (RPFS) Based on Matching Adjusted Indirect Comparison of Abiraterone Acetate and Enzalutamide for the Treatment of Castration-Resistant Prostate Cancer in Chemotherapy NaÃ¯ve Patients";"2016-05-21";FALSE;"abstract only";NA;NA;NA;NA
NA;"27202151";NA;"Comparative Effectiveness of Treatments for Relapsed or Refractory Mantle Cell Lymphoma (R/R MCL), Using Matching Adjusted Indirect Comparison";"2016-05-21";FALSE;"abstract only";NA;NA;NA;NA
NA;"30547369";NA;"Pembrolizumab for Locally Advanced or Metastatic Urothelial Cancer Where Cisplatin is Unsuitable: An Evidence Review Group Perspective of a NICE Single Technology Appraisal";"2018-12-15";FALSE;"health technology approval mentioning results from a STC, but not conducting one";NA;NA;NA;NA
NA;"31218655";NA;"Cost Effectiveness of Blinatumomab Versus Inotuzumab Ozogamicin in Adult Patients with Relapsed or Refractory B-Cell Precursor Acute Lymphoblastic Leukemia in the United States";"2019-06-21";FALSE;"Will be excluded because doesn't report any results, used within an economics analysis";NA;NA;NA;NA
NA;"31940225";NA;"Cost per PASI-75 responder of calcipotriol plus betamethasone dipropionate cutaneous foam versus nonbiologic systemic therapies for the treatment of plaque psoriasis in seven European countries";"2020-01-16";FALSE;"Reusing another MAIC";NA;NA;NA;NA
NA;"32550696";NA;"Rosacea Treatment Satisfaction: Matching Adjusted Indirect Treatment Comparison Analysis of Metronidazole Gel or Cream vs Azelaic Acid Foam";"2020-06-19";FALSE;"Not using aggregated data, using only IPD";NA;NA;NA;NA
NA;"32969597";NA;"Efficacy of bendamustine and rituximab in unfit patients with previously untreated chronic lymphocytic leukemia. Indirect comparison with ibrutinib in a real-world setting. A GIMEMA-ERIC and US study";"2020-09-24";FALSE;"Not a MAIC";NA;NA;NA;NA
NA;"33603419";NA;"Preliminary Cost-Effectiveness and Cost-Utility Analysis of Cemiplimab in Patients with Advanced Cutaneous Squamous Cell Carcinoma in Italy";"2021-02-19";FALSE;"No results provided for this ITC (economics analysis), therefore excluded";NA;NA;NA;NA
NA;"34031743";NA;"Outcomes associated with the use of a new powered circular stapler for left-sided colorectal reconstructions: a propensity score matching-adjusted indirect comparison with manual circular staplers";"2021-05-25";FALSE;"not eligible, PS matching";NA;NA;NA;NA
NA;"34372979";NA;"How Assessment-Schedule Matching Limits Bias When Comparing Progression-Free Survival in Single-Arm Studies: An Application in Second-Line Urothelial Carcinoma Treatments";"2021-08-10";FALSE;"methodological";NA;NA;NA;NA
NA;"34597975";NA;"Population-adjusted indirect treatment comparison of the SOLO1 and PAOLA-1/ENGOT-ov25 trials evaluating maintenance olaparib or bevacizumab or the combination of both in newly diagnosed, advanced BRCA-mutated ovarian cancer";"2021-10-01";FALSE;"not eligible, but important to mention it somewhere";NA;NA;NA;NA
NA;"34991104";NA;"A Cost-effectiveness Analysis Comparing Pembrolizumab-Axitinib, Nivolumab-Ipilimumab, and Sunitinib for Treatment of Advanced Renal Cell Carcinoma";"2022-01-06";FALSE;"To be excluded: say they do a MAIC but from the description of their methodology and lack of references to the appropriate literature, it is not clear that they actually are doing one";NA;NA;NA;NA
NA;"35237351";NA;"A population-based study in resected esophageal or gastroesophageal junction cancer aligned with CheckMate 577";"2022-03-03";FALSE;"Will be excluded from the review, because doesn't really compare treatment effects (+ different ""MAIC"" methodology)";NA;NA;NA;NA
